customer,overageMax,overageMin,revenueTotal,overage,recchrge,revenue,revenueChange,custcareTotal,mouTotal,custcare,custcareLast,directas,directasLast,dropvce,dropvceLast,mou,mouChange,outcalls,peakOffPeak,peakOffPeakLast,roam,occupation,regionType,marry,children,income,credit,creditCard,churn
1000100,0,0,450.45,0,75,75.075,-0.153689912,0,3241.703153,0,0,0.3333333333,0,6.5,6,540.28385883,-0.564121785,134.83333333,5.4206349206,5.380952381,0,homemaker,rural,yes,true,7,a,true,true
1000107,0,0,474.95,0,94.99,94.99,0.2665333333,5,5711.0730444,1,5,0,0,2.8,3,1142.2146089,1.0007659328,121.2,1.3397683398,1.3265306122,0,,,unknown,false,0,a,false,false
1000121,0,0,204.09,0,29.99,34.015,-0.635224761,0,1314.5787461,0,0,0,0,0,0,219.09645769,-0.809215578,30,0.7647058824,0.75,0,,,no,false,3,c,true,true
1000124,732.32810334,606.30326921,793.04,686.32902507,82.99,158.608,3.5272727273,0,12357.414862,0,0,3.2,3,10.8,10,2471.4829723,9.1797477276,755.4,1.8766184311,1.8823529412,0.8,,,no,false,3,b,true,false
1000135,47.137311346,39.932857061,422.33,44.541581803,60,70.388333333,-0.541276216,0,4640.0992968,0,0,0,0,7.8333333333,8,773.3498828,-0.627926945,299.83333333,3.3665048544,3.3623188406,0,clerical,,yes,false,5,de,true,true
1000143,0,0,1575.18,0,212.99,262.53,2.5426625903,27,19110.049284,4.5,27,43.666666667,40,9.6666666667,11,3185.008214,3.0397060051,1108.1666667,4.3107028754,4.3170731707,0,,,unknown,false,5,b,false,false
1000149,0,0,236.25,0,75,78.75,-0.689522614,0,1228.9664756,0,0,4.3333333333,4,3,3,409.65549187,-0.872722591,168.33333333,11.317073171,11.615384615,0,,town,no,false,6,a,true,true
1000161,0,0,60,0,30,30,-0.620972836,0,33.873358983,0,0,0,0,0,0,16.936679492,-0.957906299,20,5.6666666667,5.6666666667,0,,suburban,yes,true,7,b,true,true
1000164,0,0,194.11,0,31.98,32.351666667,0.1236666667,0,655.79109505,0,0,0,0,1.8333333333,2,109.29851584,5.3860737647,45.5,5.825,5.4285714286,0,,,yes,true,4,a,false,false
1000184,34.295317465,30.267882736,16.09,32.281600101,5,8.045,-0.771581133,0,64.736484581,0,0,0,0,1,1,32.368242291,-0.688761655,23.5,2.3571428571,2.4285714286,1,,,unknown,false,5,a,true,true
1000196,68.498778756,59.710139675,281.47,64.73022112,30,46.911666667,4.9493506494,21,1700.1565232,3.5,21,1,1,3.3333333333,4,283.35942053,7.8949479123,116.83333333,4.9914529915,5.1,0,,,unknown,false,0,z,false,false
1000203,0,0,117.58,0,58.79,58.79,0.283344248,2,7835.6978973,1,2,0,0,43.5,47,3917.8489487,11.999178934,849.5,5.1335740072,5.1470588235,0,professional,rural,unknown,false,4,a,true,false
1000223,0,0,296.83,0,75,98.943333333,0.6679707433,0,515.99772233,0,0,0,0,0,0,171.99924078,-0.952768465,14,1.3333333333,1.3333333333,0,,suburban,unknown,false,0,a,false,true
1000228,0,0,116.74,0,55,58.37,-0.408933306,0,705.1014607,0,0,1,1,8,7,352.55073035,0.7911450147,165.5,3.0365853659,3.0263157895,0,crafts,,no,false,6,b,true,false
1000230,0,0,535.99,0,80,89.331666667,0.5798826777,6,4361.2766914,1,6,0,0,6.3333333333,6,726.87944856,1.1653325834,348.16666667,2.7707581227,2.7666666667,2.6666666667,,,no,false,3,c,true,false
1000243,342.32707446,342.32707446,110.97,342.32707446,75,110.97,0.2118597794,1,1778.1800038,1,1,1,1,47,47,1778.1800038,1.5159971636,620,1.6382978723,1.6382978723,0,,suburban,unknown,false,0,c,false,false
1000259,0,0,199.95,0,39.99,39.99,-0.639632333,32,1877.3606222,6.4,32,1,1,7.2,7,375.47212445,-0.799074031,190.6,0.9291497976,0.9255319149,0,,town,yes,false,0,a,false,false
1000265,6.030719949,0,305.8,2.8564948759,50,50.966666667,0.2913228307,0,2530.9800816,0,0,0,0,1.5,2,421.83001361,0.1162028699,68.166666667,5.2923076923,5.4,0,self-employed,suburban,yes,false,7,aa,true,false
1000275,272.97166401,225.99216749,640.15,256.49320927,60,128.03,1.3718048025,27,5553.2470716,5.4,27,0,0,2,2,1110.6494143,1.6247838062,185.6,3.5048543689,3.4871794872,0,,suburban,yes,true,2,a,true,false
1000284,0,0,563.03,0,83,112.606,-0.097730242,0,5786.2932363,0,0,17,17,2.6,3,1157.2586473,0.0762889759,569.8,2.0601503759,2.0607734807,0,,,unknown,false,0,gy,false,false
1000291,0,0,111.07,0,50,55.535,-0.506741471,0,442.2816471,0,0,0,0,0,0,221.14082355,-0.803192251,54,3.9090909091,3.9090909091,0,,,unknown,true,5,a,true,true
1000308,0,0,200,0,50,50,-0.082737112,0,1727.1578363,0,0,0,0,0,0,431.78945907,0.8883013084,174.5,6.5869565217,6.6818181818,0,professional,town,yes,false,7,a,true,false
1000312,0,0,306.27,0,50,51.045,0.0034,19,2543.6340163,3.1666666667,19,0,0,2,2,423.93900272,-0.032427092,146.66666667,4.7516339869,4.8333333333,0,,,yes,false,9,a,true,false
1000328,0,0,479.94,0,79.99,79.99,0.594379111,6,2806.6964944,1,6,0,0,2.5,3,467.78274907,0.0703472038,145.16666667,1.4744318182,1.4814814815,1.3333333333,,suburban,yes,false,7,a,true,false
1000334,537.16357595,489.16522762,824.69,513.32744409,59.99,206.1725,1.641080135,0,5969.2734916,0,0,0.75,1,7.75,9,1492.3183729,2.3407799191,492.25,2.3204047218,2.3194444444,0,,,no,false,4,a,true,false
1000354,0,0,50.22,0,10,10.044,-0.952238947,0,31.902002345,0,0,0,0,0,0,6.3804004689,-0.99572758,0,,,0,,,no,true,6,a,true,true
1000357,0,0,485.28,0,80.88,80.88,7.0158572844,0,3602.3384212,0,0,1,1,5.1666666667,5,600.38973687,92.964731686,138,3,3.0303030303,0,,suburban,no,false,7,b,true,false
1000378,0,0,155.19,0,49.99,51.73,-0.373269041,0,743.97907447,0,0,1,1,6.6666666667,7,247.99302482,-0.581882734,78,4.5714285714,4.5,0,,suburban,no,false,9,a,true,true
1000396,223.16382284,185.82719024,458.03,203.94156835,50,76.338333333,0.5135135135,0,5152.5039536,0,0,1.6666666667,2,6.6666666667,6,858.75065893,2.5115970408,357.66666667,3.6349892009,3.6233766234,0,professional,suburban,yes,true,5,b,true,false
1000399,0,0,498.66,0,75,124.665,0.6313868613,4,1746.4331003,1,4,1.5,1,1,1,436.60827508,-0.504572577,132.75,7.564516129,7.6,26.5,,suburban,unknown,false,0,a,false,true
1000408,0,0,25.64,0,5,5.128,-0.959332055,0,0,0,0,0,0,0,0,0,-1,0,,,0,,suburban,unknown,false,1,a,true,true
1000422,0,0,580.68,0,96.78,96.78,18.013752456,0,5345.6604937,0,0,0,0,11.5,12,890.94341562,I,304.5,5.6678832117,5.6744186047,0,professional,town,yes,false,6,a,true,true
1000429,0,0,92.63,0,29.99,30.876666667,-0.690121926,3,141.32407796,1,3,0.3333333333,0,1,1,47.108025986,-0.942864145,25,24,24,0,,,unknown,false,0,gy,false,true
1000441,0,0,30,0,10,10,-0.666555519,0,9.4769813673,0,0,0,0,0,0,3.1589937891,-0.933525531,1,I,I,0,,town,yes,true,6,a,true,true
1000447,0,0,68.9,0,16.99,17.225,0.699,0,13.638336166,0,0,0,0,0,0,3.4095840416,0.1073010016,1,I,I,0,,suburban,yes,false,9,a,true,false
1000455,0,0,419.94,0,69.99,69.99,3.1194820483,0,804.81252211,0,0,0.5,1,1.8333333333,2,134.13542035,37.481901841,39.166666667,1.1962616822,1.2222222222,0,,,unknown,false,0,a,false,false
1000462,33.535388995,30.907246571,131.09,31.919230852,34.99,43.696666667,-0.371195885,0,1617.095621,0,0,0,0,2.6666666667,2,539.03187366,2.7818297475,71,0.7899159664,0.7894736842,0,,suburban,no,false,3,c,true,false
1000481,26.705901795,23.9998133,557.81,25.094967102,75,92.968333333,1.1406498523,0,10813.57919,0,0,9.6666666667,8,18.5,14,1802.2631983,2.8146631409,558.33333333,7.4810126582,7.4444444444,0,,suburban,yes,false,6,c,true,false
1000482,42.134560465,41.588667238,111.43,41.861613852,50,55.715,-0.39284577,2,896.65462055,1,2,1,1,6,6,448.32731027,-0.76737343,133.5,5.8461538462,5.8,0,,suburban,unknown,false,0,c,false,true
1000511,0,0,556.34,0,75,92.723333333,0.5641608392,12,6084.3431753,2,12,2,2,19.166666667,23,1014.0571959,1.1270069769,363.33333333,2.6886632826,2.7021276596,0,clerical,suburban,no,false,5,a,true,false
1000515,0,0,645.13,0,99.99,129.026,0.3850452666,0,4783.2379829,0,0,2.6,2,34,30,956.64759658,-0.051399692,396.6,5.6321070234,5.5862068966,20.2,,,unknown,false,0,c,false,true
1000540,75.470982389,66.445637304,427.96,70.191701528,59.99,71.326666667,-0.40784377,0,4410.7379744,0,0,0,0,4.8333333333,5,735.12299573,-0.25164873,199.16666667,0.9367909238,0.9278350515,0,,,no,false,6,b,true,true
1000554,0,0,50,0,50,50,-0.318615427,0,0,0,0,0,0,0,0,0,-1,0,,,0,,town,unknown,false,8,a,true,true
1000566,0,0,580.4,0,94.99,96.733333333,0.8998,6,4942.1880764,1,6,1.5,2,8.8333333333,11,823.69801273,I,273.16666667,3.3823529412,3.4,0,,,unknown,false,5,a,false,true
1000579,0,0,122.3,0,30,30.575,-0.671544373,0,667.74927711,0,0,1,1,3.5,4,166.93731928,-0.757175713,85.25,2.6276595745,2.64,0,,suburban,yes,false,9,a,true,true
1000605,0,0,20.6,0,5,5.15,-0.830769231,0,0,0,0,0,0,0,0,0,-1,0,,,0,,town,yes,false,8,a,true,true
1000609,0,0,359.94,0,59.99,59.99,10.361742424,0,5243.359206,0,0,0,0,0,0,873.893201,I,0,,,0,,suburban,no,false,7,a,true,true
1000621,43.081860055,38.237194709,220.47,40.824863246,32.49,44.094,-0.26787798,0,1626.1501069,0,0,0,0,3,3,325.23002138,-0.627158085,124.4,2.8633540373,2.875,0,,suburban,yes,false,6,a,true,true
1000630,659.6837378,611.5235521,1410.59,631.48092792,70,235.09833333,4.2666211293,0,8717.8893011,0,0,2.3333333333,2,4.8333333333,4,1452.9815502,3.3864264844,429.33333333,2.027027027,2.0287769784,0.6666666667,,suburban,yes,false,6,a,true,false
1000636,89.238074161,79.713668707,618.96,84.545623067,84.99,103.16,-0.541092041,6,5947.6620792,1,6,1,1,29.666666667,24,991.2770132,-0.339190025,194,3.1870503597,3.1818181818,0,,suburban,no,true,9,b,true,true
1000652,4565.2115521,4098.2935885,3328.22,4313.1422084,75,554.70333333,4.1689119171,0,38965.949155,0,0,1,1,77.666666667,73,6494.3248592,5.66444682,2391.5,8.6044176707,8.6208333333,0,clerical,suburban,yes,true,7,a,true,false
1000660,0,0,20.73,0,19.91,20.73,-0.962218415,0,26.403383084,0,0,0,0,0,0,26.403383084,-0.995789292,2,I,I,0,,town,unknown,false,0,c,false,true
1000662,0,0,460.61,0,50,76.768333333,2.8181379643,0,2440.262809,0,0,0,0,7.5,7,406.71046817,15.13730286,77,2.9827586207,3.05,7.3333333333,,suburban,unknown,false,0,a,false,false
1000675,131.20424485,111.72633039,372.52,124.34683617,50,62.086666667,-0.192293114,15,4557.6300184,2.5,15,0,0,11.666666667,11,759.60500307,0.6810984161,310,5.4137931034,5.3695652174,0,,,unknown,false,1,a,true,false
1000695,0,0,15.26,0,5,5.0866666667,-0.918035351,0,0,0,0,0,0,0,0,0,-1,0,,,0,self-employed,suburban,yes,true,9,a,true,true
1000711,0,0,366.66,0,59.99,61.11,11.017175573,6,377.08807933,1,6,0,0,1,1,62.848013222,I,29.666666667,1.9180327869,1.9090909091,0,,suburban,yes,true,6,de,true,true
1000715,145.55132371,136.89466668,251.99,141.2229952,79.99,125.995,0.9736382404,2,3957.1698011,1,2,2.5,3,45.5,45,1978.5849006,29.723903639,680.5,1.7384305835,1.7366412214,0,professional,,unknown,false,8,a,true,false
1000733,0,0,337.91,0,75,84.4775,-0.319037657,0,4876.1329661,0,0,1.5,1,35.75,32,1219.0332415,-0.376820252,363.25,4.3814814815,4.375,0,,suburban,unknown,false,7,a,true,true
1000743,62.251804795,53.645929519,252.88,59.279080231,50,63.22,-0.27437079,0,2238.4678593,0,0,0,0,6.5,7,559.61696482,-0.566619272,259,8.9615384615,9,0,,,yes,true,4,a,false,true
1000749,0,0,239.94,0,39.99,39.99,-0.348803127,0,1043.2469814,0,0,3.3333333333,3,1.8333333333,2,173.8744969,-0.717830442,42.833333333,4.7111111111,4.5714285714,0,professional,suburban,yes,true,9,a,true,true
1000775,263.50539969,241.87764121,472.52,253.00575447,57.29,157.50666667,2.9219804951,0,2382.2648789,0,0,1,1,24.333333333,25,794.08829297,4.3449133624,157,1.8035714286,1.8,1,,suburban,yes,false,5,a,true,false
1000783,0.8201805638,0.7343300486,591.73,0.7802649196,75,147.9325,-0.0337924,0,5282.5685316,0,0,5.25,4,6,6,1320.6421329,0.6270521676,285.25,1.2069632495,1.2074074074,23.25,,suburban,no,false,3,a,true,false
1000787,163.21855524,140.82335566,577.88,155.92097922,30,96.313333333,-0.375148476,0,5056.519516,0,0,0,0,2.5,3,842.75325267,-0.329997076,173.16666667,1.1645833333,1.1590909091,0,professional,town,yes,false,7,a,true,true
1000795,0,0,82.77,0,40,41.385,-0.56426233,0,210.28556235,0,0,0,0,3,3,105.14278118,-0.878799632,39,2.25,2.2307692308,0,,,unknown,false,0,a,false,true
1000807,0,0,539.09,0,75,89.848333333,1.1141541444,0,6357.1133585,0,0,3.5,4,15.166666667,15,1059.5188931,8.5493111694,275,1.9100529101,1.8958333333,9.3333333333,,suburban,no,true,9,a,true,false
1000809,2.9264532657,2.5808523872,107.41,2.8137443382,25,26.8525,-0.699415339,0,133.89070167,0,0,0,0,2.75,3,33.472675418,-0.966933287,22,0.6296296296,0.6428571429,0,professional,,yes,false,7,a,true,true
1000823,0,0,84.99,0,84.99,84.99,2.2414187643,5,2082.2136322,5,5,0,0,21,21,2082.2136322,57.769076324,623,1.2988929889,1.2988929889,0,,suburban,yes,false,8,a,true,false
1000828,93.771964154,80.850047284,459.39,89.336351893,40.07,76.565,-0.068243323,0,2522.9374395,0,0,1,1,1.1666666667,2,420.48957325,-0.80421962,115.5,1.0686567164,1.0740740741,0,,,unknown,false,4,de,true,true
1000837,0,0,484.43,0,159.99,161.47666667,1.0203308499,0,4068.0639653,0,0,6.3333333333,7,10.333333333,10,1356.0213218,2.4567906646,361,6.847826087,6.8125,0,professional,suburban,unknown,true,9,a,true,false
1000842,82.507144197,74.508153009,396.7,78.939512063,21.61,66.116666667,-0.580411276,16,2631.1930676,2.6666666667,16,3,3,2.3333333333,3,438.53217793,-0.694122163,159.83333333,1.914893617,1.9074074074,0,,,unknown,false,0,a,false,false
1000859,21.984507277,18.953560136,366.54,21.1273537,50,61.09,-0.135110979,0,3058.7858791,0,0,0,0,4,3,509.79764652,0.1822418311,116.66666667,14.217391304,13.625,3.6666666667,professional,town,yes,false,9,a,true,false
1000865,0,0,141.51,0,47.17,47.17,-0.187564588,0,85.352248029,0,0,0,0,0,0,28.450749343,-0.941432428,23.333333333,1.8,1.7777777778,0,,,unknown,false,0,a,false,true
1000888,0,0,310.08,0,75,77.52,0.58999364,0,2485.9325785,0,0,1.5,2,10.5,13,621.48314463,20.233215304,243.75,6.3308270677,6.3235294118,0,,,no,false,5,a,true,false
1000895,0,0,269.94,0,44.99,44.99,-0.400133333,0,792.99533519,0,0,2,2,1,1,132.1658892,-0.802688259,37.5,1.9220779221,1.9166666667,0,,,unknown,false,0,a,false,true
1000905,0,0,60.78,0,10,10.13,-0.773949767,0,0,0,0,0,0,0,0,0,-1,0,,,0,,rural,no,true,6,b,true,true
1000929,255.85026892,222.93762342,1305.01,240.9710181,119.99,217.50166667,20.693215339,0,8438.0983047,0,0,22.333333333,20,31.5,28,1406.3497175,I,565.83333333,2.8888888889,2.8881118881,4,,,no,false,3,b,false,true
1000938,0.5356336496,0,58.17,0.3093617243,11.5,11.634,-0.947874173,5,6.2698703642,1,5,0,0,0,0,1.2539740728,-0.999128295,1,I,I,0,professional,suburban,no,true,9,aa,true,true
1000959,168.08978641,150.15392702,716.41,160.62856635,84.99,119.40166667,9.78,6,7358.0296667,1,6,0,0,67.5,78,1226.3382778,1084.1266472,449.33333333,4.0867924528,4.0957446809,0,,suburban,yes,false,9,a,false,false
1000965,2.1035068854,1.8704121052,327.49,2.0047670181,55,65.498,-0.456239413,5,2552.5231268,1,5,0,0,1,1,510.50462536,-0.589936858,214.8,1.3449781659,1.34375,0,professional,,no,true,9,a,true,true
1000971,0,0,269.94,0,44.99,44.99,-0.332591604,18,5421.9361416,3,18,0,0,7.5,7,903.65602361,0.7265442526,200.83333333,1.0150501672,1.0196078431,0,,suburban,yes,false,6,a,true,false
1000983,0,0,419.94,0,69.99,69.99,0.5556790398,0,2501.3254664,0,0,2.8333333333,2,7.1666666667,8,416.88757773,-0.541269125,136.5,1.237704918,1.2419354839,0,self-employed,,no,false,9,a,true,true
1000995,40.780948436,36.129422616,187.46,38.850452067,16.99,31.243333333,-0.538362623,0,712.01789438,0,0,0,0,2.3333333333,3,118.66964906,-0.708136503,37,1.96,2,0,,,yes,false,6,a,false,true
1001008,25.630442232,23.029037475,142.31,24.379456639,40.79,47.436666667,0.4961312287,0,1700.6718783,0,0,0,0,1,1,566.8906261,3.3454280969,70.666666667,6.3103448276,6.4444444444,0,professional,town,no,true,4,a,true,false
1001009,0,0,63.92,0,9.71,10.653333333,-0.786098469,0,670.35402153,0,0,1,1,0,0,111.72567025,-0.796874468,39.666666667,18.833333333,18.5,0,professional,,yes,true,9,a,true,true
1001019,0,0,60.66,0,29.99,30.33,1.9003868472,0,137.21436082,0,0,0,0,1,1,68.607180412,-0.409505357,40,7,6.6,0,professional,suburban,no,false,6,a,true,true
1001022,0,0,215.94,0,35.99,35.99,0.2000666889,0,1629.5457699,0,0,0,0,0,0,271.59096166,3.2163466682,97.333333333,10.450980392,9.8888888889,0,professional,town,yes,true,7,b,true,false
1001034,0,0,112.02,0,29.99,37.34,0.0569602667,0,442.53628647,0,0,0.3333333333,1,0,0,147.51209549,-0.436919276,86.333333333,3.1111111111,3.0909090909,6.6666666667,professional,suburban,unknown,false,9,a,true,true
1001041,0,0,269.94,0,44.99,44.99,0.1827024185,39,2638.9454075,6.5,39,0,0,11.333333333,13,439.82423458,1.590691423,110,1.1086261981,1.1063829787,0,,,unknown,false,0,aa,false,false
1001058,0,0,170.13,0,14.99,28.355,-0.37830629,0,1076.0214321,0,0,0,0,2.1666666667,2,179.33690535,-0.566829094,32.666666667,1.3902439024,1.3846153846,2.5,,suburban,no,false,8,a,true,true
1001067,286.54883552,258.22020703,938.37,273.54846373,77.49,156.395,4.5144797998,18,8308.9686067,3,18,16.666666667,14,11.166666667,11,1384.8281011,6.54099502,579.83333333,2.8105147864,2.8041958042,0,,,unknown,false,7,a,true,false
1001068,0,0,91.17,0,29.99,30.39,-0.805562759,0,78.774164645,0,0,0,0,0,0,26.258054882,-0.98018414,4,I,I,0,professional,suburban,yes,false,6,a,true,true
1001081,0,0,79.99,0,79.99,79.99,1.6672224075,1,450.64747926,1,1,0,0,2,2,450.64747926,16.515585878,175,1.6515151515,1.6515151515,0,,,no,true,7,b,true,false
1001094,77.969962804,66.112375313,382.15,71.743246307,45,63.691666667,-0.206900863,0,6420.6060573,0,0,0,0,17.5,16,1070.1010095,1.5918188989,294.16666667,11.256944444,11.346153846,0,,,unknown,false,8,a,true,false
1001099,0,0,30,0,30,30,-0.527112232,1,12.48795101,1,1,0,0,3,3,12.48795101,-0.98930823,12,0.3333333333,0.3333333333,0,,rural,yes,false,7,a,true,true
1001108,0,0,181.38,0,30,30.23,0,0,1232.2553139,0,0,0,0,1,1,205.37588565,16.739830317,97.833333333,0.9632107023,0.962962963,0,,suburban,no,true,7,a,true,false
1001121,0,0,279.96,0,69.99,69.99,1.333,0,91.160508594,0,0,0,0,0,0,22.790127148,-0.897113617,4.75,3.75,4,0,,suburban,unknown,false,0,a,false,true
1001123,59.294396216,52.307837621,284.95,57.02886392,24.99,47.491666667,-0.335905129,0,1949.0857459,0,0,0,0,10,11,324.84762432,12.475965888,90.5,1.281512605,1.2972972973,0,professional,suburban,yes,true,7,a,true,false
1001149,203.71629148,182.53513794,323.98,195.26094153,29.99,107.99333333,1.3698364888,0,1285.1496751,0,0,4.6666666667,4,2.6666666667,2,428.38322503,0.5006083744,101,3.5223880597,3.5416666667,0,,,unknown,true,7,a,true,false
1001157,144.68028704,122.56971278,734.18,133.66951273,45.25,122.36333333,0.1560599183,7,2616.6280087,1.1666666667,7,0.6666666667,1,5.5,6,436.10466811,-0.018908596,243.66666667,3.6709265176,3.6851851852,0,,suburban,yes,false,6,a,true,true
1001176,0,0,509.94,0,84.99,84.99,-0.332574211,0,1740.8467446,0,0,0,0,2,2,290.1411241,-0.338128219,70.833333333,5.4393939394,5.6363636364,0,,town,yes,true,9,a,true,true
1001179,0,0,151.74,0,30,30.348,-0.647017296,0,0,0,0,0,0,0,0,0,-1,0,,,0,,,no,false,7,a,false,true
1001200,0,0,309.4,0,50,51.566666667,0.7023333333,0,2697.6169919,0,0,1,1,2.5,3,449.60283198,I,161,3.3513513514,3.3846153846,0,self-employed,,yes,true,9,a,true,true
1001210,0,0,269.94,0,44.99,44.99,-0.119052281,0,3274.9045778,0,0,0.3333333333,0,2.5,3,545.81742964,0.1123995727,300.5,0.3435171386,0.3424657534,4,,,no,false,5,b,true,false
1001211,38.870064384,38.870064384,46.5,38.870064384,35,46.5,0.033563014,0,457.32588258,0,0,0,0,7,7,457.32588258,-0.142932926,213,0.9017857143,0.9017857143,0,,,unknown,false,0,b,false,true
1001219,0,0,269.94,0,44.99,44.99,-0.032473118,0,1956.7859222,0,0,0,0,0,0,326.13098703,-0.267490989,0,,,0,,suburban,unknown,false,7,a,true,true
1001227,0,0,51.61,0,12.61,12.9025,-0.712380529,0,1.0518501789,0,0,0,0,0,0,0.2629625447,-0.999222545,0,,,0,,suburban,yes,true,9,de,true,true
1001231,0,0,478.46,0,75,79.743333333,5.2897990726,0,5593.574153,0,0,0,0,27.166666667,23,932.26235883,3386.8934878,200.66666667,4.679245283,4.7272727273,1.5,,,unknown,false,0,a,false,false
1001248,188.13155898,188.13155898,98.73,188.13155898,50,98.73,0.213048286,0,746.59612726,0,0,0,0,5,5,746.59612726,-0.153860176,230,1.2772277228,1.2772277228,0,professional,,no,true,6,c,true,true
1001256,141.86224155,124.54374836,568.2,130.72019652,50.03,94.7,-0.038083663,50,5934.7395386,8.3333333333,50,1,1,12.166666667,11,989.12325644,0.344677761,327.83333333,0.9969543147,0.994011976,0,,rural,yes,true,5,a,true,false
1001257,1.0980306078,0.9726518322,94.3,1.0250236761,30,31.433333333,-0.665789197,0,398.7214599,0,0,0,0,2,2,132.9071533,-0.87150704,61.666666667,2.1896551724,2.1578947368,0,professional,,yes,true,5,a,true,true
1001273,0,0,9.91,0,0,4.955,-0.839634531,0,0,0,0,0,0,0,0,0,-1,0,,,0,,suburban,yes,false,9,b,true,true
1001276,0,0,120.8,0,19.95,20.133333333,3.0098231827,0,62.732353495,0,0,0,0,0,0,10.455392249,I,4,3,3,0,,suburban,unknown,false,0,a,false,true
1001288,0,0,961.69,0,154.99,160.28166667,6.7927486526,0,9557.3662916,0,0,1.6666666667,1,7.8333333333,8,1592.8943819,142.4633327,679.66666667,4.5407608696,4.5299145299,0,,suburban,unknown,false,0,a,false,false
1001306,0,0,186.63,0,30,31.105,-0.803709525,0,278.69327504,0,0,1,1,0,0,46.448879173,-0.972150952,9.6666666667,1.0714285714,1.25,0,professional,suburban,yes,true,9,a,true,true
1001313,0,0,165.28,0,29.99,33.056,0.0964125561,0,966.99223723,0,0,1.4,2,2,2,193.39844745,4.067820968,86.4,2.6302521008,2.6538461538,0,,suburban,yes,false,7,b,true,false
1001317,0,0,215.15,0,32.49,35.858333333,0.0595968449,0,289.38170708,0,0,0,0,1,1,48.230284514,-0.788344246,12.666666667,1.7142857143,2,0,,,yes,false,5,a,true,true
1001331,0,0,308.4,0,50.01,51.4,0.4598842018,0,2580.6409145,0,0,0,0,4,5,430.10681909,9.1909225595,202.66666667,3.9230769231,3.9318181818,2,,,no,false,6,a,true,false
1001339,0,0,460.27,0,75,76.711666667,0.4164305949,0,5352.8378422,0,0,0,0,12.5,11,892.13964036,0.9156728699,379.33333333,1.8308457711,1.8270676692,1,,,unknown,false,0,c,false,false
1001344,180.2064198,169.60139583,203.19,174.90390782,46.54,101.595,0.32,0,742.14867428,0,0,5.5,6,11.5,13,371.07433714,-0.553897645,96,2.3103448276,2.2903225806,0,clerical,,no,false,7,a,true,true
1001362,0,0,43.57,0,40,43.57,-0.55989899,0,34.497829211,0,0,0,0,0,0,34.497829211,-0.912569884,17,7.5,7.5,0,,,unknown,false,0,gy,false,true
1001363,0,0,181.3,0,30,30.216666667,-0.311452835,0,265.83424189,0,0,0,0,0,0,44.305706982,0.1684513504,17.666666667,2.1176470588,2.2,0,,town,yes,true,8,a,true,false
1001381,0,0,183.65,0,30,30.608333333,0,0,491.56352086,0,0,0,0,0,0,81.927253477,1.0839109078,26.166666667,12.083333333,12.5,0,,,no,true,7,a,true,false
1001383,0,0,299.95,0,59.99,59.99,0.9996666667,19,2866.2945168,3.8,19,1.8,2,13.6,14,573.25890336,5.6985807449,166.4,1.7368421053,1.7333333333,0,,,unknown,false,0,b,false,false
